customer_ID,name,dept,suite,address,city,state,zip,custtype_ID,customer_type,division
3,Baxter May                  ,N/A,N/A,796-2366 Vel Avenue       ,Meriden         ,FL,58328,C ,Commercial      ,PEC
6,Raphael Allison             ,N/A,N/A,734-2598 Sed Avenue       ,La Crosse       ,HI,58702,C ,Commercial      ,PEC
9,The Product Company (East)  ,N/A,N/A,20021 Barnes Road         ,Stratford       ,NY,13470,C ,Commercial      ,PEC
11,Austin Ferrell              ,N/A,N/A,8666 Justo Road           ,Pullman         ,PA,55979,C ,Commercial      ,PEC
14,Serrano                     ,N/A,N/A,7212 Eleifend Street      ,Princeton       ,KY,66785,C ,Commercial      ,PEC
15,Colton Maldonado            ,N/A,N/A,1869 Leo Road             ,Cedar Rapids    ,SD,97640,C ,Commercial      ,PEC
16,Googol                      ,N/A,N/A,5453 Dictum Avenue        ,Jenks           ,LA,96393,C ,Commercial      ,PEC
20,Pewter Gym                  ,N/A,N/A,9028 Non Street           ,Sandy           ,FL,87202,C ,Commercial      ,PEC
27,Clare Baird                 ,N/A,N/A,6152 Auctor Road          ,Wilson          ,MS,29338,C ,Commercial      ,PEC
29,Blevins                     ,N/A,N/A,2571 Donec Avenue         ,Winooski        ,SD,65512,C ,Commercial      ,PEC
30,Knox Reid                   ,N/A,N/A,500 Eu Avenue             ,Pass Christian  ,WY,35949,C ,Commercial      ,PEC
32,Ferengi Treasures           ,N/A,N/A,716-6837 Vulputate Avenue ,Paramount       ,NY,35644,C ,Commercial      ,PEC
33,Tallulah                    ,N/A,N/A,3376 Aliquet Street       ,Batavia         ,NM,50742,C ,Commercial      ,PEC
34,The Product Company (West)  ,N/A,N/A,21 E BullaRoad Avenue     ,Fresno          ,CA,93710,C ,Commercial      ,PEC
1,Haynes                      ,N/A,N/A,2920 Auctor Road          ,Moraga          ,AZ,70314,E ,Education       ,PEC
7,Martin Donaldson            ,N/A,N/A,2704 At Road              ,Gardner         ,GA,31421,E ,Education       ,PEC
18,Melvin House                ,N/A,N/A,8371 Nullam Road          ,Isle of Palms   ,ME,89644,E ,Education       ,PEC
19,Emerson Electric Company    ,N/A,N/A,1792 Squash Drive         ,South Texarkana ,TX,75501,E ,Education       ,PEC
21,Hop Adams                   ,N/A,N/A,704 Nisl Road             ,Sun Valley      ,NH,84458,E ,Education       ,PEC
22,Xavier Harmon               ,N/A,N/A,2285 Ante Street          ,Farmington      ,WV,16456,E ,Education       ,PEC
28,Schultz Learning            ,N/A,N/A,8542 Quis Street          ,Spartanburg     ,ND,73217,E ,Education       ,PEC
31,Starfleet Academy           ,N/A,N/A,3061 Donec Avenue         ,Canandaigua     ,UT,75963,E ,Education       ,PEC
38,Firstfed America Bancorp Inc,N/A,N/A,5656 Settler Street       ,Ward Prairie    ,TX,75840,E ,Education       ,PEC
39,Ronan French                ,N/A,N/A,8773 Feugiat Road         ,Gary            ,WA,17387,E ,Education       ,PEC
2,Rudyard-Knapp               ,N/A,N/A,9261 Nulla Street         ,Sault Ste. Marie,LA,94298,S ,State/Local Gov ,PEC
4,Maya Brewer                 ,N/A,N/A,PO Box 825 6836 At Road   ,Union City      ,ND,82051,S ,State/Local Gov ,PEC
5,Mullins Incorporated        ,N/A,N/A,4009 Ornare Road          ,Birmingham      ,NE,59509,S ,State/Local Gov ,PEC
10,Hammett Farley              ,N/A,N/A,1668 In Street            ,Yonkers         ,AK,18651,S ,State/Local Gov ,PEC
12,Cain                        ,N/A,N/A,1116 Augue Street         ,Warwick         ,DC,38450,S ,State/Local Gov ,PEC
25,Atkins                      ,N/A,N/A,4607 Risus Road           ,Waukegan        ,NC,43147,S ,State/Local Gov ,PEC
37,Beverly Equipment           ,N/A,N/A,7581 Quisque Street       ,Bloomington     ,HI,88440,S ,State/Local Gov ,PEC
40,Zena Machines               ,N/A,N/A,1277 Hendrerit Avenue     ,San Juan        ,WA,7066,S ,State/Local Gov ,PEC
8,Gemma Castro                ,N/A,N/A,9101 Duis Street          ,Passaic         ,VT,40926,F ,US Govt         ,PEC
13,Knight                      ,N/A,N/A,765 Eget Avenue           ,Eureka          ,FL,57500,F ,US Govt         ,PEC
17,Mallory Lynch               ,N/A,N/A,974 Nisl Road             ,Washington      ,ME,15623,F ,US Govt         ,PEC
23,Cross                       ,N/A,N/A,112 In Road               ,Opelousas       ,GA,43882,F ,US Govt         ,PEC
